store_nbr,sequence_nbr,,,
30015,60161,,,
30254,90714,,,
30155,62690,,,
30130,61436,,,
30312,61417,,,
30296,60687,,,
30304,61527,,,
30049,74717,,,
30056,60133,,,
30247,79106,,,
30262,60247,,,
30098,74715,,,
30239,85781,,,
30148,60175,,,
30213,62254,,,
30221,68116,,,
30270,60003,,,
30320,97198,,,
30122,85295,,,
30189,60465,,,
30338,60252,,,
30346,67038,,,
30197,94392,,,
30163,60538,,,
30072,67336,,,
30288,60843,,,
30080,60445,,,
30023,88325,,,
39933,60001,,,
30031,75523,,,
30064,61999,,,
30106,70791,,,
30171,60001,,,
30205,60080,,,
30353,60001,,,
30379,67890,,,
30395,63885,,,
30361,61138,,,
30387,64229,,,
30403,70787,,,
29397,60001,,,
19430,60001,,,
27953,60001,,,
,60005,,,
1990,60001,,,
2535,60001,,,
6478,60001,,,
7807,60001,,,
10710,60001,,,
15354,60001,,,
18606,60001,,,
20107,60001,,,
22251,60001,,,
23432,60001,,,
27201,60001,,,
28472,60001,,,
29017,60001,,,
29785,60001,,,
554,60001,,,
6874,60001,,,
7815,60001,,,
8953,60001,,,
19620,60001,,,
21212,60001,,,
22392,60001,,,
22798,60001,,,
22889,60001,,,
24109,60001,,,
27169,60001,,,
28209,60001,,,
2246,60001,,,
7336,60001,,,
11304,60001,,,
11429,60001,,,
11650,60001,,,
18457,60001,,,
19349,60001,,,
19356,60001,,,
23416,60001,,,
24232,60001,,,
26500,60001,,,
26716,60001,,,
26898,60001,,,
27557,60001,,,
29157,60001,,,
57208,60001,,,
57216,60001,,,
30015,84850,,,
30254,69605,,,
30155,60357,,,
30130,65828,,,
30312,92815,,,
30296,82745,,,
30304,96927,,,
30049,62059,,,
30056,60002,,,
30247,62020,,,
30262,60247,,,
30098,64839,,,
30114,60082,,,
30239,64843,,,
30148,60657,,,
30213,60996,,,
30221,61728,,,
30270,60001,,,
30320,60423,,,
30122,76119,,,
30189,60554,,,
30338,60052,,,
30346,61953,,,
30197,60210,,,
30163,92940,,,
30072,60763,,,
30288,60093,,,
30080,77689,,,
30023,60360,,,
39933,60001,,,
30031,76677,,,
30064,63031,,,
30106,60726,,,
30171,60001,,,
30205,60038,,,
30353,60004,,,
30379,61166,,,
30395,87886,,,
30387,60336,,,
30403,68601,,,
30361,97362,,,
,60037,,,
29397,60001,,,
19430,60001,,,
27953,60001,,,
2535,60001,,,
1990,60001,,,
6478,60001,,,
7807,60001,,,
10710,60001,,,
15354,60001,,,
18606,60001,,,
20107,60001,,,
22251,60001,,,
23432,60001,,,
27201,60001,,,
28472,60001,,,
29017,60001,,,
29785,60001,,,
554,60001,,,
6874,60001,,,
7815,60001,,,
8953,60001,,,
19620,60001,,,
21212,60001,,,
22392,60001,,,
22798,60001,,,
22889,60001,,,
24109,60001,,,
27169,60001,,,
28209,60001,,,
2246,60001,,,
7336,60001,,,
11304,60001,,,
11429,60001,,,
11650,60001,,,
18457,60001,,,
19349,60001,,,
19356,60001,,,
23416,60001,,,
24232,60001,,,
26500,60001,,,
26716,60001,,,
26989,60001,,,
27557,60001,,,
29157,60001,,,
57208,60001,,,
57216,60001,,,
30189,75361,,,
30015,60530,,,
30254,61235,,,
30155,60210,,,
30130,66936,,,
30312,75265,,,
30296,91396,,,
30304,63244,,,
30049,61093,,,
30056,60073,,,
30247,61064,,,
30262,60121,,,
30098,63298,,,
30114,60337,,,
30239,62070,,,
30148,97914,,,
30213,60854,,,
30221,60612,,,
30270,60056,,,
30320,60195,,,
30064,71742,,,
30197,60451,,,
30031,61408,,,
30023,60253,,,
30072,61298,,,
30080,60475,,,
30163,60808,,,
30205,60078,,,
30338,60016,,,
30346,60841,,,
30353,71111,,,
30288,60078,,,
30106,60517,,,
30379,60774,,,
30395,60973,,,
30361,64438,,,
30387,60001,,,
30403,60288,,,
30122,60288,,,
29397,60001,,,
19430,60001,,,
27953,60001,,,
1990,60001,,,
10710,60001,,,
2535,60001,,,
6478,60001,,,
7807,60001,,,
15354,60001,,,
18606,60001,,,
20107,60001,,,
22251,60001,,,
23432,60001,,,
27201,60001,,,
28472,60001,,,
29017,60001,,,
29785,60001,,,
554,60001,,,
6874,60001,,,
7815,60001,,,
8953,60001,,,
19620,60001,,,
21212,60001,,,
22392,60001,,,
22798,60001,,,
22889,60001,,,
24109,60001,,,
27169,60001,,,
28209,60001,,,
2246,60002,,,
7336,60001,,,
11304,60001,,,
11429,60001,,,
11650,60001,,,
18457,60001,,,
19349,60001,,,
19356,60001,,,
23416,60001,,,
24232,60001,,,
26500,60001,,,
26716,60001,,,
26989,60001,,,
27557,60001,,,
29157,60001,,,
,60012,,,
57208,60001,,,
57216,60001,,,