mod_type,description,type,width,length,height,top_off_flag,num_fit,,,
A01,DEFAULT,B,1,1,1,N,1,,,
A06,SHORT 1/6,B,5.5,14.4,10,Y,1,,,
A07,RESTRICTED,B,20,25,17,Y,1,,,
A11,1/4 MOD,B,8.3,29.5,10,Y,4,,,
A13,1/3 MOD,B,11,29.5,10,Y,3,,,
A14,1/4 MOD TALL,B,8.2,29,15,Y,2,,,
A15,1/2 MOD,B,16.5,29.5,10,Y,2,,,
A98,BULK STACK,B,999.8,999.8,999.8,Y,1,,,
A20,BIG SHOE FIXED,B,22,41,45,Y,1,,,
A25,BIG SHOE LARGE,B,41,44.5,22,Y,1,,,
A30,G LEVEL SEASON,B,33,29.5,21,Y,1,,,
A31,SMALL SEASONAL,B,18.5,48,18.5,Y,1,,,
X32,"L,M A-LEVEL",B,12,75,29,Y,4,,,
A34,LARGE SEASONAL,B,25,47,50,Y,2,,,
A35,LARGER SEASONAL,B,33,47,50,Y,2,,,
A39,4 TIER RACK,B,48,240,56,Y,1,,,
X41,HANGING GARMENT,B,1,1,1,Y,1,,,
X43,HANGING GARMENT,B,1,1,1,Y,1,,,
A99,SPECIAL ZONING,B,0.1,0.1,0.1,N,1,,,
W59,NONCON_SMB   TR,B,36.5,55.5,43.5,Y,1,,,
W61,PILLOWS      BB,B,17,48.1,28,Y,1,,,
W63,W_CONVEY,B,25,37.6,46,Y,1,,,
W64,W_CONVEY      E,B,25,37.7,46,Y,1,,,
W65,W_CONVEY      B,B,25,37.8,46,Y,1,,,
W66,W_CONVEY      A,B,25,40,48.5,Y,1,,,
W67,Q-SECT_SM   4TR,B,44,239,56,Y,1,,,
W68,Q-SECT_SM   3TR,B,44,177,56,Y,1,,,
W69,Q-SECT_SM   2TR,B,44,119,56,Y,1,,,
W70,Q-SECT_SM   1TR,B,44,60.1,56,Y,1,,,
W71,PILLOWS,B,17,48,17,Y,1,,,
W72,SOFA        6EA,B,252,198,50,Y,1,,,
W73,SOFA        1EA,B,42,198,50,Y,1,,,
W74,R-SECT_LR   8TR,B,472,94,42,Y,1,,,
W75,R-SECT_LR   2TR,B,118,94,44,Y,1,,,
W76,R-SECT_LR   1TR,B,59,94,42,Y,1,,,
W77,R-SECT_LR   4TR,B,236,94,42,Y,1,,,
W84,R-SECT_SM   8TR,B,472,60,48,,1,,,
W79,R-SECT_LR   3TR,B,177,94,44,Y,1,,,
W80,1 STACK FRAME,B,59,60,48,Y,1,,,
W81,R-SECT_SM   2TR,B,118,60,48,Y,1,,,
W82,R-SECT_SM   3TR,B,177,60,48,Y,1,,,
W83,R-SECT_SM   4TR,B,236,60,48,Y,1,,,
W98,BULK STACK,B,999.8,999.8,999.8,Y,1,,,
W15,DEFAULT,B,1,1,1,,1,,,
W55,MECH PICK    SM,B,45,105,52,Y,1,,,
T32,"L,M A-LEVEL",B,1,1,1,Y,1,,,
T41,HANGING GARMENT,B,1,1,1,Y,1,,,
T42,HANGING GARMENT,B,1,1,1,Y,1,,,
T43,HANGING GARMENT,B,24,999,99,Y,4,,,
X11,TAILOR SHOP,B,10,29.5,8.2,Y,4,,,
X13,TAILOR SHOP,B,11,29.5,10,Y,3,,,
X15,TAILOR SHOP,B,16.5,29.5,10,Y,2,,,
A00,DEFAULT,B,1,1,1,N,1,,,
X00,,B,1,1,1,N,1,,,
T00,,B,1,1,1,N,1,,,
W99,RRR,B,100,100,100,,1,,,
X31,SMALL SEASONAL,B,17,48,27,Y,3,,,
X34,LARGE SEASONAL,B,25,47,50,Y,2,,,
X03,,B,1,1,1,N,1,,,
A32,SMALL SEAS D LV,B,22,48,18.5,N,1,,,
W00,DEFAULT,B,1,1,1,N,0,,,
X02,,B,1,1,1,,1,,,
W10,BLINDS_SH,B,16.5,35.1,25,Y,1,,,
W11,PILLOWS,B,17,48,28,Y,1,,,
W12,BLINDS_ME,B,16.5,60.1,21.5,Y,1,,,
W13,DEFAULT,B,17,34.5,12,Y,1,,,
W14,BLINDS_ME,B,14,60.1,16,Y,1,,,
W16,DEFAULT,B,1,1,1,Y,1,,,
W17,DEFAULT,B,1,1,1,Y,1,,,
W18,LONGBIN_LR SHRT,B,16,89.1,16,Y,1,,,
W19,DEFAULT,B,42,99.9,52,Y,1,,,
W20,BLINDS_ME,B,16.5,60.1,27.5,Y,1,,,
W21,DEFAULT,B,16.5,48.1,16.5,Y,1,,,
W22,DEFAULT,B,16.5,60.1,24.5,Y,1,,,
W23,DEFAULT,B,16.5,60.1,16.5,Y,1,,,
W24,LONGBIN_LR,B,16.5,120,24.5,Y,1,,,
W25,D5AREA,B,17,36,22,Y,1,,,
W26,LONGBIN_LR,B,14,120,16,Y,1,,,
W27,DEFAULT,B,1,1,1,Y,0,,,
W85,R-SECT_SM  12TR,B,708,60,48,,1,,,
W29,REGULATED,B,20,30,10,Y,1,,,
W30,SHADES,B,23,48,10.5,Y,1,,,
W31,SHADES,B,16.5,63,10.5,Y,1,,,
W32,BLINDS_SH,B,16.5,30,16.5,Y,1,,,
W28,DEFAULT,B,1,1,1,,1,,,
W34,SHADES,B,23,74,10.5,Y,1,,,
W35,SHADES,B,14,73.1,7.5,,1,,,
W36,SHADES,B,14,73.1,10.5,,1,,,
W37,DEFAULT,B,1,1,1,,1,,,
W38,DEFAULT,B,1,1,1,,1,,,
W39,2 DEEP B LEVEL,B,108,90,43,,1,,,
W40,RUGS_SH,B,16.5,35.1,21,Y,1,,,
W41,B LEVEL FIXED,B,48,90,43,,1,,,
W42,2 DEEP FIXED,B,108,90,98,Y,1,,,
W43,A / C  FIXED,B,48,90,98,Y,1,,,
W44,RUGS_LR   SHORT,B,16.5,94,16.5,Y,1,,,
W45,DEFAULT,B,1,1,1,,1,,,
W46,RUGS_LR,B,13.5,140,26,Y,1,,,
W47,RUGS_ME,B,16.5,66.1,21.2,Y,1,,,
W48,R-SECT_SM   6TR,B,354,60,48,Y,1,,,
W49,R-SECT_ME   6TR,B,354,75,48,,1,,,
W50,NONCON_AF   FTR,B,34.1,89.1,43,Y,1,,,
W51,NONCON_AF  OVER,B,34.1,110,43,Y,1,,,
W52,NONCON_BF   FTR,B,34.1,89.1,41.1,Y,1,,,
W53,PILLOWS,B,59,60,48,Y,1,,,
W54,MECH-PICK    LG,B,50,105,60,Y,1,,,
W56,NONCON_SMA  FIX,B,44,60.1,56,Y,1,,,
W57,NONCON_SMA   TR,B,36.5,55.5,43.5,Y,1,,,
W58,NONCON_SMB  FIX,B,44,51.1,48,Y,1,,,
W60,PILLOWS 4TR,B,48,236,60,Y,1,,,
W62,PILLOWS 8TR,B,48,472,60,Y,1,,,
W86,R-SECT_ME   2TR,B,118,75,48,Y,1,,,
W87,R-SECT_ME   1TR,B,59,75,48,Y,1,,,
W88,R-SECT_ME   4TR,B,236,75,48,Y,1,,,
W89,R-SECT_ME   8TR,B,472,75,48,Y,1,,,
W90,FOAM         HS,B,38,105,42,Y,1,,,
W91,FOAM    BIN BOX,B,25,48,45,Y,1,,,
W92,R-SECT_ME   3TR,B,177,75,78,Y,1,,,
W93,MATTRESS_F   HS,B,25.1,85.1,40.1,Y,1,,,
W94,MATTRESS_Q   HS,B,25.1,86.1,65.1,Y,1,,,
W95,MATTRESS_Q  4TR,B,40,340,62,Y,1,,,
W96,MATTRESS_K   HS,B,44,92.5,80,Y,1,,,
W97,MATTRESS_Q  1TR,B,40,86.1,64,Y,1,,,
W02,RUGS_SH,B,16,35.1,21,,1,,,
W04,BLINDS_SH,B,16,35.1,21,N,1,,,
W03,BLINDS_SH,B,16,35.1,16,N,1,,,
W05,RUGS_ME,B,14,66.1,16,N,1,,,
W06,BLINDS_ME,B,14,63.1,16,N,1,,,
W07,RUGS_LR,B,14,120,16,,1,,,
X04,,B,1,1,1,,1,,,
X06,,B,1,1,1,,1,,,
X07,,B,1,1,1,,1,,,
X08,,B,1,1,1,,1,,,
X70,,B,1,1,1,,1,,,
X63,,B,1,1,1,,1,,,
X81,,B,1,1,1,,1,,,
X59,,B,1,1,1,,1,,,
X10,,B,1,1,1,,1,,,
X09,,B,1,1,1,,1,,,
X12,,B,1,1,1,,1,,,
X14,,B,1,1,1,,1,,,
X16,,B,1,1,1,,1,,,
X17,,B,1,1,1,,1,,,
X18,,B,1,1,1,,1,,,
X19,,B,1,1,1,,1,,,
X20,,B,1,1,1,,1,,,
X21,,B,1,1,1,,1,,,
X22,,B,1,1,1,,1,,,
X23,,B,1,1,1,,1,,,
X24,,B,1,1,1,,1,,,
X25,,B,1,1,1,,1,,,
X26,,B,1,1,1,,1,,,
X27,,B,1,1,1,,1,,,
X28,,B,1,1,1,,1,,,
X29,,B,1,1,1,,1,,,
X30,B,B,1,1,1,,1,,,
X33,,B,1,1,1,,1,,,
X35,,B,1,1,1,,1,,,
X36,,B,1,1,1,,1,,,
X37,,B,1,1,1,,1,,,
X39,,B,1,1,1,,1,,,
X40,,B,1,1,1,,1,,,
X42,,B,1,1,1,,1,,,
X01,,B,1,1,1,,1,,,
X05,,B,1,1,1,,1,,,
X38,,B,1,1,1,,1,,,
X44,,B,1,1,1,,1,,,
X45,,B,1,1,1,,1,,,
X46,,B,1,1,1,,1,,,
X47,,B,1,1,1,,1,,,
X48,,B,1,1,1,,1,,,
X49,,B,1,1,1,,1,,,
X50,,B,1,1,1,,1,,,
X51,,B,1,1,1,,1,,,
X52,,B,1,1,1,,1,,,
X53,,B,1,1,1,,1,,,
X54,,B,1,1,1,,1,,,
X55,,B,1,1,1,,1,,,
X56,,B,1,1,1,,1,,,
X57,,B,1,1,1,,1,,,
X58,,B,1,1,1,,1,,,
X60,,B,1,1,1,,1,,,
X61,,B,1,1,1,,1,,,
X62,,B,1,1,1,,1,,,
X64,,B,1,1,1,,1,,,
X65,,B,1,1,1,,1,,,
X99,SPECIAL ZONING,B,0.1,0.1,0.1,,1,,,
X98,,B,1,1,1,,1,,,
X66,,B,1,1,1,,1,,,
X67,,B,1,1,1,,1,,,
X68,,B,1,1,1,,1,,,
X97,,B,1,1,1,,1,,,
X96,,B,1,1,1,,1,,,
X95,,B,1,1,1,,1,,,
X94,,B,1,1,1,,1,,,
X93,,B,1,1,1,,1,,,
X92,,B,1,1,1,,1,,,
X91,,B,1,1,1,,1,,,
T08,,B,1,1,1,,1,,,
T09,,B,1,1,1,,1,,,
T10,,B,1,1,1,,1,,,
T11,,B,1,1,1,,1,,,
T12,,B,1,1,1,,1,,,
T13,,B,1,1,1,,1,,,
T14,,B,1,1,1,,1,,,
T15,,B,1,1,1,,1,,,
T16,,B,1,1,1,,1,,,
T17,,B,1,1,1,,1,,,
T18,,B,1,1,1,,1,,,
T19,,B,1,1,1,,1,,,
T20,,B,1,1,1,,1,,,
T21,,B,1,1,1,,1,,,
T22,,B,1,1,1,,1,,,
T23,,B,1,1,1,,1,,,
T24,,B,1,1,1,,1,,,
T25,,B,1,1,1,,1,,,
T26,,B,1,1,1,,1,,,
T27,,B,1,1,1,,1,,,
W01,RUGS_SH,B,16,35.1,16,,1,,,
W08,LONGBIN_LR,B,16,120,16,,1,,,
W09,BIGSHOE SLEEVE,B,16,48,16,,1,,,
X90,,B,1,1,1,,1,,,
X89,,B,1,1,1,,1,,,
X88,,B,1,1,1,,1,,,
X87,,B,1,1,1,,1,,,
X86,,B,1,1,1,,1,,,
X85,,B,1,1,1,,1,,,
X84,,B,1,1,1,,1,,,
X83,,B,1,1,1,,1,,,
X82,,B,1,1,1,,1,,,
X80,,B,1,1,1,,1,,,
X79,,B,1,1,1,,1,,,
X78,,B,1,1,1,,1,,,
X77,,B,1,1,1,,1,,,
X76,,B,1,1,1,,1,,,
X75,,B,1,1,1,,1,,,
X74,,B,1,1,1,,1,,,
X73,,B,1,1,1,,1,,,
X72,,B,1,1,1,,1,,,
X71,,B,1,1,1,,1,,,
X69,,B,1,1,1,,1,,,
T01,,B,1,1,1,,1,,,
T02,,B,1,1,1,,1,,,
T03,,B,1,1,1,,1,,,
T04,,B,1,1,1,,1,,,
T05,T-CLASS,B,12,48,10,,1,,,
T06,,B,1,1,1,,1,,,
T07,,B,1,1,1,,1,,,
T28,,B,1,1,1,,1,,,
T29,,B,1,1,1,,1,,,
T30,,B,1,1,1,,1,,,
T31,,B,1,1,1,,1,,,
A52,SHOE ALL LEVELS,B,33,29.5,80,,1,,,
A53,W-T_CLASS,B,26,48,63,,1,,,
A54,W-T_CLASS,B,22,44,50,,1,,,
A55,W-T_CLASS,B,22,52,34,,1,,,
A56,NON_OVERBX,B,18.5,48,20.3,,1,,,
A57,NON_OVERBX HV 4,B,48,240,56,,1,,,
A58,NON_OVERBX HV 2,B,44,119,56,,1,,,
A59,3 TIER RACK,B,48,180,56,,1,,,
A60,SHORT POLE TR,B,42,60,48,,1,,,
A61,BIG SH FIXED RK,B,27,48,40,,5,,,
A62,TEST 1 W,B,8.3,30.5,10,,1,,,
A63,TEST 2 H,B,8.3,29.5,11,,1,,,
A64,TEST 3 W,B,9.3,29.5,10,,1,,,
A65,,B,1,1,1,,1,,,
A66,,B,1,1,1,,1,,,
A67,,B,1,1,1,,1,,,
A68,,B,1,1,1,,1,,,
A69,,B,1,1,1,,1,,,
A70,TOY SEASONAL,B,43,46,25.3,,4,,,
A71,,B,1,1,1,,1,,,
A72,,B,1,1,1,,1,,,
A73,,B,1,1,1,,1,,,
A74,,B,1,1,1,,1,,,
A75,,B,1,1,1,,1,,,
A76,,B,1,1,1,,1,,,
A77,,B,1,1,1,,1,,,
A78,,B,1,1,1,,1,,,
A79,,B,1,1,1,,1,,,
A80,,B,1,1,1,,1,,,
A81,,B,1,1,1,,1,,,
A82,,B,1,1,1,,1,,,
A83,,B,1,1,1,,1,,,
A84,,B,1,1,1,,1,,,
A85,,B,1,1,1,,1,,,
A86,,B,1,1,1,,1,,,
A87,,B,1,1,1,,1,,,
A88,,B,1,1,1,,1,,,
A89,,B,1,1,1,,1,,,
A90,,B,1,1,1,,1,,,
A91,,B,1,1,1,,1,,,
A92,,B,1,1,1,,1,,,
A93,,B,1,1,1,,1,,,
A94,,B,1,1,1,,1,,,
A95,,B,1,1,1,,1,,,
A96,,B,1,1,1,,1,,,
A97,,B,1,1,1,,1,,,
W78,R-SECT_SM   6TR,B,354,60,48,,1,,,
T33,,B,1,1,1,,1,,,
T34,,B,1,1,1,,1,,,
T35,,B,1,1,1,,1,,,
T36,,B,1,1,1,,1,,,
T37,,B,1,1,1,,1,,,
T38,,B,1,1,1,,1,,,
T39,,B,1,1,1,,1,,,
T40,,B,1,1,1,,1,,,
T44,,B,1,1,1,,1,,,
T45,,B,1,1,1,,1,,,
T46,,B,1,1,1,,1,,,
T47,,B,1,1,1,,1,,,
T48,,B,1,1,1,,1,,,
T49,,B,1,1,1,,1,,,
T50,,B,1,1,1,,1,,,
T51,,B,1,1,1,,1,,,
T52,,B,1,1,1,,1,,,
T53,,B,1,1,1,,1,,,
T54,,B,1,1,1,,1,,,
T55,,B,1,1,1,,1,,,
T56,,B,1,1,1,,1,,,
T57,,B,1,1,1,,1,,,
T58,,B,1,1,1,,1,,,
T59,,B,1,1,1,,1,,,
T60,,B,1,1,1,,1,,,
T61,,B,1,1,1,,1,,,
T62,,B,1,1,1,,1,,,
T63,W-T_CLASS,B,25,37.6,46,,1,,,
T64,,B,1,1,1,,1,,,
T65,,B,1,1,1,,1,,,
T66,,B,1,1,1,,1,,,
T67,,B,1,1,1,,1,,,
T68,,B,1,1,1,,1,,,
T69,,B,1,1,1,,1,,,
T70,,B,1,1,1,,1,,,
T71,,B,1,1,1,,1,,,
T72,,B,1,1,1,,1,,,
T73,,B,1,1,1,,1,,,
T74,,B,1,1,1,,1,,,
T75,,B,1,1,1,,1,,,
T76,,B,1,1,1,,1,,,
T77,,B,1,1,1,,1,,,
T78,,B,1,1,1,,1,,,
T79,,B,1,1,1,,1,,,
T80,,B,1,1,1,,1,,,
T81,,B,1,1,1,,1,,,
T82,,B,1,1,1,,1,,,
T83,,B,1,1,1,,1,,,
T84,,B,1,1,1,,1,,,
T85,,B,1,1,1,,1,,,
T86,,B,1,1,1,,1,,,
T87,,B,1,1,1,,1,,,
T88,,B,1,1,1,,1,,,
T89,,B,1,1,1,,1,,,
T90,,B,1,1,1,,1,,,
T91,,B,1,1,1,,1,,,
T92,,B,1,1,1,,1,,,
T93,,B,1,1,1,,1,,,
T94,,B,1,1,1,,1,,,
T95,,B,1,1,1,,1,,,
T96,,B,1,1,1,,1,,,
T97,,B,1,1,1,,1,,,
T98,,B,1,1,1,,1,,,
T99,SPECIAL ZONING,B,0.1,0.1,0.1,,1,,,
A02,PRACTICE,B,4.5,29.5,10,,1,,,
A03,MULTI - TEST,B,5.5,10,7.4,,9,,,
A04,COFFEE,B,16.5,29.5,10,,4,,,
A05,1/6 MOD,B,5.5,29.5,10,,6,,,
A08,SHORT 1/3,B,11,14.5,10,,1,,,
A09,24 INCH 1/6,B,5.5,23.5,10,,1,,,
A10,SPEC SEASONAL,B,17.5,48.5,17.5,,1,,,
A12,SPEC SEASONAL,B,24.5,36,29.7,,1,,,
A16,1/4 MOD 7 SHELF,B,8.2,29.5,12,,4,,,
A17,1/3 MOD 7 SHELF,B,11,29.5,12,,3,,,
A18,ONE MOD 7 SHELF,B,16.5,29.5,12,,2,,,
A19,1/2 MOD TALL,B,16.5,29.5,15,,4,,,
A21,BIG SHOE,B,17,34.5,19.5,,1,,,
A22,BIG SHOE SF,B,18,31,42,,1,,,
A23,TOWELL SEASON,B,17,16,22,,1,,,
A24,BIG SHOE SHORT,B,17,30,17,,1,,,
A26,BIGSHOE SHELF,B,25,41,42,,1,,,
A27,A-SOUTH W,B,17,36,18,,1,,,
A28,RENO 31 SHORT,B,20.8,43.5,17.5,,4,,,
A29,SPEC SEASONAL,B,25,38.5,51,,1,,,
A33,A-SOUTH LARGE,B,25,42,50,,1,,,
A36,SPEC SEASONAL,B,17.7,43.5,21.7,,1,,,
A37,W-T_CLASS,B,25,37.6,46,,1,,,
A38,W-T_CLASS,B,22,28,18,,1,,,
A40,1 TIER RACK,B,48,60,56,,1,,,
